Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage
,Consulting,Mabvax-Therapeutics,"$3,000,000","Jul  9, 2014",,,,,,"$5,300,000","Nov 20, 2012",,,,,-
"maniaTV is a proven and PROFITABLE company that is building a top 5 video destination via a network/jukebox of original pop-culture TV shows satiating the viewing habits of the Internet's most rabid video consumers. Shows that are network quality and include major established Hollywood personalities who can leverage their social media fans (Twitter, Facebook) to promote their shows and the maniaTV network. maniaTV has relationships with all of the top talent agents with a large pipeline of A, B and C-list personalities. maniaTV has produced hundreds of hours of celebrity programming and has shows in development with popular personalities like MTV's Audrina… · More Patridge, Fox Sports' Tom Arnold, MADtv Bobby Lee, Jackass Superstar Wee-man, Comedian Tom Green, CBS Rockstar's Dave Navarro, and many more.With the current disruption of TV shifting billions of dollars to the Internet, maniaTV has significant demand from advertisers. And the market has recently had many profitable exits.",,maniaTV,,,Next Generation Viacom,"$2,000,000","Mar  5, 2008","$4,600,000","Oct  1, 2004","$12,000,000","Sep  1, 2005","$5,500,000","Mar  3, 2008",,,
RedBrick Health is a health engagement and behavior change technology company that helps organizations reinvigorate their health and wellness programs,iPhone,RedBrick-Health,"$7,500,000","Apr 28, 2014",,,,,,,,"$15,000,000","Apr  1, 2009","$10,000,000","Aug 10, 2011",Series D
,Software,Ip-Commerce,"$3,600,000","Aug 17, 2012",,,,,,,,"$17,000,000","Apr  1, 2008",,,Series A
,Document Management,Nextio,"$12,300,000","May 17, 2012",,,,,,"$10,000,000","Jan 11, 2005","$18,800,000","Feb 29, 2008","$15,000,000","Jun 11, 2009",Series D
"Origami is a next generation mobile marketplace allowing brands to connect with their fans while leveraging viral marketing for new customer acquisition. Origami allows brands the power to pull existing and potential new customers into physical retail spaces.Origami has over 700 lifestyle brands signed up from luxury to street, design to electronic , jewellery to cosmetics and sports to art. Existing brand partners include Undercover, MoMA Design Store, Mitsukoshi Isetan, A.P.C, Diesel, Herman Miller, Restir, Alessi, Kenzo Parfums, BAO BAO Issey Miyake, White Mountaineering, Marc by Marc Jacobs, North Face, Mackintosh, Hasselblad, Vogue, WWD, Jurlique, Mori Art… · More Museum, Daikanyama Tsutaya, Bang & Olufsen, and more.",Mobile Payments,Origami,,,Redesign Commerce,,,"$5,000,000","Apr 23, 2013","$16,000,000","Apr  9, 2015",,,,,Series B
,Semiconductors,Zoove,"$1,200,000","Mar  5, 2014",,,,"$6,800,000","Jun 20, 2006",,,"$13,000,000","Sep 15, 2009","$15,000,000","Aug 16, 2011",Series B
Butterfly Body Liners are a totally new award-winning personal hygiene product providing discreet protection for accidental bowel leakage (ABL).,Health and Wellness,Butterfly-Health,,,,,,,,"$20,000,000","Sep  4, 2013",,,,,Series B
"Smartsheet is an intuitive online project management tool enabling teams to increase productivity using cloud, collaboration, &amp; mobile technologies.",Food and Beverages,SmartSheet,"$35,000,000","May  5, 2014",,,,"$2,700,000","Jun  1, 2007","$1,300,000","Jan 15, 2009","$1,500,000","Sep 16, 2010","$1,000,000","Sep 24, 2012",Series D
,Clean Technology,Glori-Energy,,,,,,,,,,"$20,000,000","Jan 24, 2012",,,Series C
"Traxpay Dynamic Payments is the faster, safer, smarter way to do B2B commerce by enabling a complete end-to-end solution for financial transactions. We're",B2B,Traxpay,"$4,000,000","Jun 26, 2012",,,,,,"$15,000,000","Sep 23, 2014",,,,,Series B
,Biotechnology,Torax-Medical,"$13,700,000","Dec 27, 2013",,,,,,"$10,000,000","Jun 28, 2005",,,"$30,000,000","Sep 19, 2012",Series B
"Top-rated (4.5 stars) and highest-performing Remote Desktop, Remote Support, and App Delivery solution. 16 Million Users. Support Windows, Mac, iOS, Android and more.",Digital Currency,Splashtop,,,,,,"$10,500,000","Aug  1, 2006",,,"$15,000,000","Aug 19, 2008","$10,000,000","Jun  2, 2010",Series A
,Health Care,Tepha,"$11,300,000","Mar 16, 2012",,,,,,"$10,700,000","Jun  6, 2007",,,,,-
,Big Data,StumbleUpon,,,Web discovery platform,"$1,500,000","Dec  1, 2005",Unknown,"Apr 13, 2009","$17,000,000","Mar  9, 2011",,,,,-
"Scrabble became ""Words with Friends"".  Pictionary became ""Draw Something"", but the world is still waiting for the social mobile hit that takes Trivial Pursuit to the same level of success.Plain Vanilla is developing QuizUp, a real time social quiz game that approaches the trivia genre from a new angle. QuizUp has great traction potential and an innovative go-to-market strategy. Oh, and its a lot of fun and terribly addictive. :)Please contact us for further information.",Performance Marketing,Plain-Vanilla-Games,,,Developing the first real time quiz platform for mobile. ,"$1,000,000","Jul  1, 2012","$2,400,000","Apr  9, 2013","$22,000,000","Dec 26, 2013",,,,,Series C
,-,Crossing-Automation,,,,,,"$6,000,000","May  5, 2008","$7,200,000","Jul 27, 2010",,,,,-
,Bioinformatics,Proclivity-Systems,,,,,,"$700,000","Jan  1, 2007","$5,200,000","Sep  1, 2008","$2,900,000","Sep 18, 2009",,,Seed
"Call center software from Five9 is the leading cloud contact center software solution, bringing the power of the cloud to thousands of customers worldwide.",Video Games,Five9,"$12,000,000","Apr 19, 2012",,"$12,500,000","May 29, 2013",,,"$17,000,000","Jan  1, 2005","$8,600,000","Jan 19, 2011","$22,000,000","May 29, 2013",Series C
,,NebuAd,,,,,,"$11,150,000","Jul  1, 2007","$19,000,000","Sep  1, 2007",,,,,
,Enterprise Software,Varicent-Software,,,,,,,,,,"$35,000,000","Oct  1, 2009",,,Series C
Ocimum Biosolutions is a leading integrated global genomics outsourcing partner with solutions spanning Bioresearch Design and Execution; Data Analytics and Insights and Laboratory Sample &amp; Data Management.,Biotechnology,Ocimum-Biosolutions,,,,,,,,,,"$8,000,000","Jan 18, 2011",,,Series C
,-,Corventis,,,,,,,,,,"$10,000,000","Dec  1, 2009",,,Series C
ThoughtSpot makes search-based business data access and analysis products for the enterprise.,,ThoughtSpot,,,Google-like BI for the enterprise,,,"$10,700,000","Jun 16, 2012","$30,000,000","Jun 18, 2014",,,,,
,Trusted Networks,Whale-Communications,"$3,500,000","Jan  1, 2006",,,,,,,,"$6,500,000","Jun  9, 2005",,,-
,-,Open-Silicon-Pakistan,,,,,,,,,,"$15,100,000","Sep 27, 2005","$10,000,000","Mar 15, 2007",-
,Enterprise Software,LaunchPoint,,,,,,,,"$3,500,000","Jan 24, 2012",,,,,Series B
,Social Network Media,Icebreaker,,,,,,,,"$7,200,000","Jun  5, 2007",,,,,Series B
"Choose Energy (http://ChooseEnergy.com) is the leading retail energy marketplace where you can shop for electricity and natural gas and buy the best products for your home and business. With over a billion dollars in transactions, we have already helped home owners and businesses across the U.S. save millions on their energy bills. We are transforming the $1.5 trillion market that has been around for more than 100 years. Choose Energy is backed by Kleiner Perkins.We are looking for talented Software Engineers, Data Scientists, Product Managers, and Designers to build our next generation retail… · More energy marketplace and big data platform to deliver delightful consumer experiences. Visit our careers page and come join us!https://jobs.lever.co/chooseenergy",Gift Card,Choose-Energy,,,Comparison shopping for energy,,,"$4,000,000","Mar 26, 2013","$7,500,000","Nov  7, 2013","$14,000,000","Apr 15, 2015",,,Series B
,-,OVGuide,,,,,,"$5,000,000","Feb 18, 2009","$3,000,000","Apr 30, 2010",,,,,Series A
"FullContact's address book brings all of your contacts into one place and keeps them automatically up to date on the web, as well as on your iPhone and iPad. Add photos to your contacts. Find them on social networks like Twitter, Facebook, LinkedIn and of course AngelList. It's the address book that busy professionals from any walk of life can appreciate, and best of all it's free. For developers, the suite of FullContact APIs builds powerful, complete profiles of contacts that can be included in any application.",Edtech,FullContact,,,Stay fully connected. Master your contacts.,"$1,850,000","Sep  8, 2011","$7,000,000","Jul  9, 2012","$10,000,000","Jan 29, 2015",,,,,Series C
,Manufacturing,Wochit,,,,,,"$4,800,000","May 13, 2013","$11,200,000","May 12, 2014",,,,,Series B
,-,Sequans-Communications,Unknown,"Nov 19, 2009",,,,,,"$9,270,000","Feb 22, 2005",,,,,Series B
"The deployment of smart devices across the nation's electric grid is generating massive new data sets that many in the utility industry have referred to as a ""data tsunami"".   Verdeeco lets utilities realize that potential; capturing, storing, and transforming large data sets into actionable information for their entire enterprise to gain system insight to improve their efficiency, quality, and reliability.http://www.gridasaservice.com",Cloud Data Services,Verdeeco,,,Energy Data Analytics & Applications Platform,,,"$800,000","Jul 14, 2011","$714,200","Nov 28, 2012",,,,,
"We help brands tell their story through newsworthy video, so they can connect with audiences across earned, owned, &amp; paid media. Our quick to implement technology &amp; video services have a unifying C.O.D.E. for success: Create Once, Deploy",Video,Synaptic-Digital,,,,,,,,,,"$5,000,000","Oct 11, 2005",,,Series C
,-,Celona-Technologies,"$3,190,000","Feb  2, 2010",,,,,,"$14,110,000","Jul  9, 2007",,,,,
LiveOps cloud-based contact center / virtual call center software with social customer service greatly improves customer service and customer support experience,Startups,LiveOps,"$30,000,000","Jan 27, 2014",,,,"$1,000,000","Jan  1, 2001","$22,000,000","Apr  1, 2004","$28,000,000","Feb 13, 2007",,,-
,Semiconductors,Cavendish-Kinetics,"$10,000,000","Jun  7, 2011",,,,,,"$15,500,000","May  1, 2006",,,,,Series B
,Doctors,Cara-Therapeutics,,,,,,,,"$4,700,000","Dec 21, 2005","$19,000,000","Nov 28, 2006","$15,000,000","Jul 21, 2010",Series D
,Crowdsourcing,Doxo,"$3,500,000","Dec 23, 2013",,"$500,000","Sep  1, 2008","$4,750,000","Nov 12, 2009","$10,000,000","Feb 15, 2011",,,,,Series B
,Hardware + Software,Genesis-Networks,"$2,000,000","May  6, 2010",,,,,,Unknown,"Sep 26, 2006",,,,,Series A
,Enterprise Software,CAPNIA,"$5,000,000","Aug 14, 2012",,,,,,"$12,000,000","May  3, 2004",,,,,Series A
,,Mirna-Therapeutics,"$5,000,000","Dec 16, 2009",,,,,,"$1,500,000","Aug 23, 2011","$34,500,000","Oct 24, 2012","$17,200,000","Nov  2, 2012",
"Making email work again- Tackling email complexityWe take the pain out of handling your organization’s most important data: the information that passes through your email systems.When we started out ten years ago, we saw what others didn’t - that while corporate email was increasingly being used as the primary store for critical business information, it was also becoming more complex; fragmented, less reliable and ever more costly.",Software,Mimecast,,,"Email Archiving, Continuity, Security",,,,,"$21,000,000","Jan 25, 2010","$62,000,000","Sep 26, 2012",,,Series D
"Bocada specializes in enterprise data protection management software and backup reporting software. For more information, visit www.bocada.com or call 1-425-818-4400",Graphics,Bocada,"$4,000,000","Jul  1, 2006",,,,,,,,"$9,500,000","Jan 13, 2005",,,Series B
,Enterprise Software,PureWave-Networks,,,,,,,,"$12,000,000","Dec  4, 2008","$5,000,000","Apr  2, 2012",,,Series D
,Sports,Quick-Hit-Sports,"$450,000","Apr 13, 2011",,,,"$5,000,000","Apr 24, 2008","$8,000,000","Jan 14, 2009",,,,,Series A
,Biotechnology,Vascular-Pathways,"$5,000,000","Jun 24, 2014",,,,,,"$14,000,000","Nov  1, 2010",,,,,-
"Hightail's online services span from simple file sharing to complete collaboration services that allow users to securely share, sign and access content from any mobile device or PC.",,Hightail,"$35,000,000","Nov 19, 2013",Better collaboration for creative professionals,,,"$10,000,000","Aug  1, 2005","$10,000,000","Apr 24, 2007","$14,000,000","Jul 15, 2008","$15,000,000","Aug  2, 2010",
,Enterprise Software,Ektron,,,,,,,,,,"$4,500,000","Jun 12, 2013",,,Series C
,Clean Technology,Telcare,"$1,000,000","May 17, 2011",,,,,,"$25,500,000","Aug 22, 2012",,,,,Series B
,SaaS,Spredfast,,,,,,"$1,600,000","Apr 14, 2010","$12,000,000","Sep 26, 2011","$18,000,000","Feb  5, 2013","$32,500,000","Jan  3, 2014",
,,CoalTek,"$750,000","Aug  2, 2013",,,,,,,,"$33,000,000","Feb 26, 2007",,,
,Software,Nascentric,,,,,,,,"$6,200,000","Jun 16, 2006","$7,200,000","Sep 12, 2007",,,Series B
,Software,Quad-Learning,,,,,,"$11,000,000","Feb 14, 2013","$10,000,000","Apr  7, 2014",,,,,Series A
,Clean Technology,CSA-Medical,,,,,,"$10,000,000","Jan 25, 2011","$20,500,000","Dec 15, 2011","$16,000,000","Dec 22, 2013",,,Series C
,Video on Demand,Altair-Semiconductor,,,,,,"$8,000,000","Dec  8, 2005","$18,000,000","Jun 12, 2007","$22,000,000","Sep 23, 2008","$26,000,000","Apr 10, 2011",Series D
,E-Commerce,StorSimple,,,,,,"$8,000,000","Jun  1, 2009","$13,000,000","Sep 13, 2010","$10,500,000","Jun 23, 2011",,,Series C
,Advertising,Rotation-Medical,"$5,500,000","Jun  5, 2013",,,,,,"$27,200,000","Jul  2, 2014",,,,,
,Biotechnology,Tango-Networks,"$2,200,000","Apr 17, 2012",,,,"$25,000,000","Feb  8, 2007","$4,099,999","Aug 30, 2011",,,,,Series A
,Software,IP-Fabrics,,,,,,,,"$1,500,000","Mar 29, 2006",,,,,Series B
,,TOA-Technologies,"$66,000,000","Jul 16, 2013",,,,,,,,"$13,000,000","Jun  3, 2008","$17,200,000","May 12, 2011",
"Valencell develops biometric data sensors and licenses its patent-protected technology to consumer electronics manufacturers, mobile device and accessory makers, sports and fitness brands and gaming companies for integration into their products.",Health Care,Valencell,"$1,000,000","Nov 13, 2009",,,,,,"$5,500,000","Jun 20, 2011","$7,000,000","Jun 16, 2014",,,Series A
,Mobile,PrimeSense,Unknown,"Jan 12, 2011",,,,,,"$20,400,000","May  6, 2008",,,,,Series A
,,Wattpad,,,The world's largest community of readers and writers.,Unknown,"Jan 11, 2010","$3,500,000","Sep 12, 2011","$17,300,000","Jun  6, 2012","$46,000,000","Apr  8, 2014",,,
"Innovative clinical procedure, Type 2 Diabetes, Restore health, improve control",Technology,Fractyl-Laboratories,"$14,300,000","Mar 21, 2013",,,,,,,,"$40,000,000","Sep  4, 2014",,,Series C
,User Experience Design,Ankeena-Networks,"$15,928,793","Mar 19, 2010",,,,"$9,400,000","Aug  8, 2008","$6,500,000","Jun 25, 2009",,,,,Seed
"Identified is a big data and analytics company that pioneered SYMAN, a technology that transforms social data from Facebook into professional intelligence for people and companies.",,Identified,,,,,,"$1,500,000","Jan  1, 2010","$21,000,000","Jun  5, 2012",,,,,
"Imagine if the wind turbine of the future is NOT a wind turbine at all. What if there is a better way to convert wind energy into electricity than three 150 foot blades going up to 180 mph at the tip while spinning around a 140 ton housing 250 feet in the air? Accio Energy will transform wind energy generation by providing a cost-attractive, electrostatics-based alternative to intensely mechanical wind turbines to deliver clean, sustainable energy to people around the globe.  Aerovoltaic(tm) wind energy systems are silent and stationary.  They are avian and bat safe, viewshed appealing, radar compatible, and 50% lower cost than wind turbines in comparable markets.  They… · More offer higher capacity factor, easy maintenance and don't require subsidies.",Renewable Energies,Accio-Energy,,,Turbine-free wind energy,"$403,000","Oct 17, 2008","$1,908,112","Dec 15, 2010","$1,565,000","Jul 11, 2012",,,,,
"Kapow Software is a leading pioneer in providing application integration &amp; mobile integration solutions, including business process automation, content migration and cloud integration.",Software,Kapow-Software,"$1,500,000","Jan 13, 2010",,,,,,"$6,600,000","Feb  1, 2005","$11,600,000","Mar  6, 2008",,,Series B
"SpotHero is an on-demand app for parking that allows drivers to reserve their perfect spot right from the web and their phones. We partner with garages, lots and valets to get drivers discounted parking spots all across the US. We make life easier for the daily driver",Big Data,SpotHero,"$2,000,000","Dec 13, 2012",On-Demand Parking  App,"$4,500,000","Jun 11, 2014",,,"$20,000,000","Aug 19, 2015",,,,,Series B
"Piston Enterprise OS (pentOS)™ makes it possible to build a secure private cloud in under 10 minutes and removes the hours of time, complexity and technical expertise traditionally required to build private clouds.",Mobile Payments,Piston-Cloud-Computing,"$1,000,000","Oct 30, 2012",Enterprise private cloud software with OpenStack,"$500,000","Mar  1, 2011","$4,500,000","Jun 21, 2011","$8,000,000","Feb  4, 2013",,,,,
,-,TST-Media,,,,,,Unknown,"Jun 15, 2009","$3,500,000","Aug 25, 2011",,,,,Series B
,-,DynaPump,,,,,,,,"$6,000,000","May 29, 2008",,,,,Series B
,Biotechnology,BioVascular,,,,,,,,,,"$10,900,000","Feb  7, 2008",,,Series C
,Enterprise Software,Code-Green-Networks,"$4,000,000","Apr 20, 2010",,,,,,,,"$15,000,000","Jan 10, 2006",,,Series C
,Software,Encover,"$5,100,000","Apr  1, 2009",,,,,,,,"$8,000,000","May 31, 2006",,,Series C
,,BrightRoll,"$1,200,000","Jun 16, 2014",BrightRoll is the largest independent video ad platform for reaching audiences at scale.,"$1,000,000","Nov  1, 2006","$5,000,000","Oct  1, 2007","$10,000,000","Feb  3, 2010","$30,000,000","Nov 15, 2011",,,
ACTIVE StarCite's meeting management software helps large organizations keep track of the multiple events they run across their business.,Curated Web,StarCite-Part-of-Active-Network,,,,,,,,"$15,000,000","Jun  1, 2008",,,,,Series B
,Health Care,gloStream,"$1,200,000","Apr  2, 2013",,,,,,"$7,500,000","May 28, 2009",,,,,-
,Software,Valchemy,,,,,,,,"$8,500,000","Mar  7, 2005",,,,,Series B
"ParkWhiz simplifies the parking experience by facilitating the advance purchase of parking for any driving occasion. Available on any device -- PC, tablet, or smartphone -- ParkWhiz features parking options and deals at over 1,500 locations nationwide, providing drivers a guaranteed space in seconds.  Over the next few years, we will see the global parking market significantly altered and improved on all levels. Our goal is to improve the the way people find and pay for parking through a single digital experience across mobile devices, vehicles, and parking infrastructure.",Messaging,ParkWhiz,,,Click here. Park anywhere.,,,"$2,000,000","Jan 30, 2013","$10,000,000","Jul 21, 2014",,,,,
,Semiconductors,Ziptronix,"$1,500,000","Sep  1, 2010",,,,,,,,"$7,200,000","Aug 11, 2005","$2,800,000","Jan 12, 2007",-
"Here at the newly minted Refinery29 Shops, our mission is to serve up entertainment, inspiration, and amazing product—together. As far as we're concerned, shopping and discovery just isn't any fun unless you have all three. We believe in telling stories through style, solving problems (like, how do I wear that?), and finding, again and again, that ever-magical balance between High and Low...yes, here at Shops, Hermès lives very happily right alongside Keds. Just like in a real closet.",Messaging,Refinery29,,,Have fun with your fashion.,"$500,000","Feb 13, 2010",Unknown,"Jul 15, 2011","$5,600,000","Jan 12, 2013","$20,000,000","Oct 16, 2013",,,Series C
"iPhone, iPad, Android and Blackberry medical software for drug interaction, EHR, EMR, drug prices, dosing, disease, medical dictionary, ICD9 Code, Medicare Part D, and CME",Manufacturing,Epocrates,,,,,,,,"$35,000,000","Aug 17, 2000",Unknown,"Aug 19, 2002",,,Series A
"Clinverse, Inc. is a global technology and financial services company that delivers highly secure, cloud-based financial management and payment solutions for the clinical trials industry.",Software,Clinverse,"$500,000","Sep 26, 2013",,,,"$2,200,000","Oct 28, 2009","$3,800,000","May  7, 2012","$9,100,000","Aug 19, 2014",,,Series C
,Gps,SageQuest,,,,,,,,,,"$4,000,000","Jan  6, 2006","$3,720,000","Apr 30, 2008",Series C
,Elderly,Tributes,,,The resource for obituary news and lasting tributes celebrating the lives of loved ones.,,,"$4,300,000","Feb 13, 2008","$1,200,000","Jul 14, 2009",,,,,Series A
,Enterprise Software,Syntricity,"$3,300,000","Mar  7, 2005",,,,,,"$5,800,000","Jan 11, 2006",,,,,
,,Causes,,,Discover and organize campaigns around the issues that impact you and your community,,,"$2,350,000","Jan  1, 2007","$5,000,000","Mar  1, 2008","$9,000,000","Oct 18, 2010",,,
"At PNMsoft we believe IT people can and should be the driving force in any organization’s success, if they could constantly adapt its business processes to changing market conditions. Sequence Kinetics™, our Intelligent Business Process Management Suite, uses unique HotChange® technology to enable rapid build and change of high availability, mobile-enabled workflow applications, while maintaining lifecycle governance. The best positioned Microsoft based vendor on Gartner's iBPMS Magic Quadrant for 2014. Serves many Fortune 500 companies worldwide as the platform for mission critical business processes and customer facing applications.",Workflow,PNMsoft,,,Business Processes in Motion,,,,,"$3,300,000","Jun 13, 2008",,,,,
,,Payfone,"$10,000,000","Oct 18, 2013",,,,,,"$11,000,000","Aug  2, 2010",,,,,
"Scoutmob's Shoppe is a curated marketplace for independent and inspired goods. We feature authentic products from microretailers across the country in categories such as home decor, art, jewelry and gifts. Our platform is a discovery shopping experience that takes advantage of hard-to-find collections, a focus on the makers behind the products and the resurgence of authenticity in today's society. Consumers want someone to cut through the clutter and surface up the best products in this growing and popular vertical. And the market's big... the handmade market is $30B, gifts and home decor are $65B and jewelry is $63B.  We launched the Shoppe product… · More line 16 months ago with a significant head start of 2 million organic email sign-ups from our legacy local mobile business. This is a big advantage as there isn't a current leader at curating and creating demand in the independent and authentic goods market and user acquisition is the lifeblood of early ecommerce companies.",Big Data Analytics,Scoutmob,"$5,000","Dec 18, 2012",Inspired goods by independent makers,,,"$1,500,000","Apr 12, 2011","$3,000,000","Apr 10, 2014",,,,,
,Wireless,Principia-BioPharma,"$12,100,000","Feb 10, 2011",,,,"$12,500,000","Oct 29, 2012","$50,000,000","Apr 22, 2014",,,,,Series C
,Networking,Expressor-Software,"$6,000,000","Dec 19, 2011",,,,,,"$10,000,000","Aug 27, 2008",,,,,-
"JOOR is the leading online global fashion marketplace for wholesale buying. Founded by Mona Bijoor in 2010, JOOR is based in New York City with offices in Los Angeles, Paris, Milan, and Sydney and available globally on jooraccess.com Through our innovative platform and easy-to-use technology we’re pioneering a wholesale evolution – making the process easier and faster not just because we want to, but because we believe the wholesale industry deserves better. We’ve put the entire wholesale buying process online, to enable brands and retailers to drive incremental revenue, cut costs, improve their customer experience and analyze performance through data analytics.… · More At JOOR, we’re passionate about building smart technology to keep wholesale vibrant. We don’t want to reinvent the wheel, just make it spin faster and easier. We’ve gathered industry experience in both fashion and business to create a marketplace that meets the needs of both.",Big Data Analytics,JOOR,,,The global marketplace where brands and retailers do business online.,,,"$2,250,000","Jul 19, 2011","$3,300,000","Sep 20, 2012","$14,600,000","Jul 25, 2013",,,Series A
,Finance,Nomis-Solutions,"$5,000,000","Sep 24, 2013",,,,,,,,"$8,000,000","Apr 23, 2007",,,Series C
,,Ayasdi,"$182,000","Mar 31, 2013",,Unknown,"Sep  1, 2010","$10,000,000","Jan 16, 2013","$30,600,000","Jul 16, 2013",,,,,
"Heyzap is redesigning mobile advertising from the ground up aiming to bring automation and transparency to the mobile ad ecosystem. In doing so, Heyzap is building a mobile app developer platform including Mediation, Direct Deals, Cross Promotion, SDK and API monitoring tools. Heyzap mediates rewarded video, interstitials, banners and other formats. We also allow app makers to acquire users using advanced targeting (e.g. app targeting) for performance (CPI) campaigns and track ROI. Heyzap is open to all mobile apps on iOS, Android and Amazon Fire.Heyzap Mediation specifically gives thousands of developers the power to dynamically test mobile ad networks… · More against each other, and automatically deploys different networks to maximize revenue. With our Mediation Insights tool, app developers benefit from true performance metrics that enable them to make country and network-specific decisions at a single glance.Heyzap ranked #4 in SF Biz Times fastest growing companies in the Bay Area.",,Heyzap,,,Mobile Advertising Done Right,"$650,000","May 27, 2009","$3,000,000","Jun 23, 2010","$4,300,000","Dec  1, 2012",,,,,
,Android,Panther-Express,"$6,000,000","Jul 25, 2006",,,,,,"$15,800,000","Feb 27, 2008",,,,,IPO
"1) Reveal: helps tech support agents find the best tech support solutions from across the web and effortlessly shares them with the whole team.2) SupportKit: connects you to your iOS app's users so you can provide them with the knowledge and tools they need to be successful and keep coming back.  See: http://vimeo.com/1025641243) PTScx:  turn-key Premium Technology Support (PTS) solution that let’s you deliver consistent tech support across all of a customers connected devices and services - so you can meet the growing demand for a unified, cross-platform technology support experience.",Reviews and Recommendations,Radialpoint,,,Transforming the way tech support is delivered by agents and experienced by users,,,,,,,"$98,000,000","Sep 23, 2008",,,IPO
"YCD is a global provider of end-to-end digital signage solutions designed to help businesses attract clients, reinforce branding and ensure a measurable impact on their business.",Environmental Innovation,YCD-Multimedia,"$12,000,000","Jun 22, 2009",,,,"$8,500,000","Mar 19, 2006","$6,000,000","Oct 27, 2011","$9,000,000","Mar  1, 2008",,,Series A
"Our channel marketing technology powers digital marketing results, delivering qualified leads for national brands and local businesses in five industries.",,Netsertive,"$7,000,000","Sep  4, 2014",,,,"$4,000,000","Sep 29, 2010","$7,300,000","Aug 14, 2012","$3,000,000","Sep  4, 2014",,,
,Photography,VytronUS,"$2,800,000","Mar 31, 2013",,,,"$6,600,000","Aug 20, 2007","$11,000,000","Jun 29, 2009",,,,,Series B
,Travel,Lockerz,"$9,000,000","Oct 31, 2013",The social commerce platform that rewards users for sharing their style. ,,,,,Unknown,"Jul  6, 2010","$36,000,000","Aug  3, 2011",,,-
,Software,TARIS-Biomedical,"$13,500,000","Mar 18, 2013",,,,"$15,000,000","Jun 25, 2009","$18,300,000","Apr 13, 2011",,,,,-
,News,Local-Voice-Media,,,,,,,,"$3,000,000","Jul 30, 2013",,,,,Series B
,Software,Numerate,,,,"$8,199,999","Jun  6, 2014",,,"$5,500,000","Mar  1, 2009",,,,,Series A
,Software,CADFORCE,,,,,,"$1,700,000","Feb 16, 2006","$3,100,000","Dec  1, 2006",,,,,Series A
,Biotechnology,Gemmus-Pharma,,,,,,"$1,800,000","Jun 28, 2012","$3,300,000","May 13, 2014",,,,,Series A
"Bromium redefines endpoint security with a new approach focused on isolation rather than detection. Eliminate compromises, false positives and costly remediation.",Advertising,Bromium,"$100,000","Apr  1, 2012",,,,"$9,200,000","Jun 22, 2011","$26,500,000","Jun 20, 2012","$40,000,000","Oct 23, 2013",,,-
,Health Care,RenovoRx,"$660,000","Apr 10, 2013",,,,,,"$1,200,000","Jan 28, 2014",,,,,-
,Application Platforms,Zumigo,"$3,400,000","Oct 13, 2013","Mobile location and network data for security and marketing. Enterprise scaled, globally.","$420,000","Dec 28, 2010","$1,300,000","Feb  1, 2012","$6,000,000","Aug 22, 2014",,,,,Series A
Good Start Genetics provides state-of-the-art accurate genetic carrier screening tests. Learn more about our product &amp; carrier screening below.,Biotechnology,Good-Start-Genetics,"$28,000,000","May  8, 2013",,,,"$18,000,000","Sep 10, 2010","$14,000,000","Apr  2, 2012",,,,,Series A
,Hardware + Software,Semtek-Innovative-Solutions,,,,,,"$6,700,000","Oct 30, 2007",Unknown,"Sep 30, 2009",,,,,Series A
,Hardware + Software,UltraSoC-Technologies,"$571,000","Feb  1, 2009",,,,"$3,100,000","Oct 22, 2010","$2,300,000","Jun 26, 2013",,,,,-
GainSpan designs ultra low power Wi-Fi module for battery-powered embedded WiFi applications,VoIP,GainSpan,"$7,400,000","Oct  1, 2012",,,,"$13,350,000","Sep  1, 2006","$20,000,000","Dec 19, 2007","$18,000,000","Dec  5, 2011","$19,000,000","Jun 26, 2013",-
,Enterprise Software,GameLogic,,,,,,,,"$18,600,000","Feb  8, 2006",,,,,-
"Search for vital records here! Learn more about your family history and genealogy by searching through more than 5 billion records, including vital records, at FamilyLink.com.",Networking,Familylink,,,,,,"$1,250,000","Aug 28, 2007","$2,400,000","Feb 25, 2008",,,,,Series B
,Health Care,Interlace-Medical,,,,,,,,,,"$20,000,000","Jul  7, 2009",,,Series C
,Finance,Prolacta-Biosciences,"$5,800,000","Aug  9, 2011",,,,,,"$540,000","Nov 21, 2006","$12,500,000","Apr 30, 2007","$15,000,000","Nov  3, 2011",-
,Data Integration,BioCept,"$1,300,000","Dec 30, 2013",,,,"$3,600,000","Mar 29, 2010","$2,300,000","Aug 12, 2010",,,"$10,000,000","Jun 23, 2006",Series B
"Welcome to Trada, your #1 source for paid search management! Our community of paid search experts has years of experience and is ready to improve your ROI.",-,Trada,"$1,000,000","Apr  1, 2014",,,,"$2,200,000","Mar 17, 2010",,,"$5,750,000","Jul 21, 2010","$9,000,000","Jan  5, 2012",Seed
,Biotechnology,Jennerex-Biotherapeutics,"$21,600,000","May 23, 2013",,,,,,,,"$5,500,000","Sep 18, 2009",,,Series C
,Health Care,CareKinesis,"$4,000,000","Sep 12, 2013",,,,"$1,500,000","Oct 11, 2010","$1,500,000","Apr  7, 2011",,,,,-
